date1;average_t
02.01.2019;16.янв
03.01.2019;17.авг
04.01.2019;16.сен
05.01.2019;18.фев
06.01.2019;15.0
07.01.2019;14.июн
08.01.2019;15.апр
09.01.2019;15.сен
10.01.2019;16.сен
11.01.2019;17.0
12.01.2019;19.фев
13.01.2019;18.сен
14.01.2019;15.июн
15.01.2019;15.мар
16.01.2019;16.май
17.01.2019;17.фев
18.01.2019;19.янв
19.01.2019;18.июл
20.01.2019;19.июн
21.01.2019;17.май
22.01.2019;15.май
23.01.2019;16.июн
24.01.2019;16.янв
25.01.2019;14.авг
26.01.2019;14.фев
27.01.2019;14.0
28.01.2019;13.сен
29.01.2019;13.сен
30.01.2019;16.мар
31.01.2019;16.июн
01.02.2019;14.0
02.02.2019;13.авг
03.02.2019;15.авг
04.02.2019;18.авг
05.02.2019;19.мар
06.02.2019;19.июн
07.02.2019;15.май
08.02.2019;13.янв
09.02.2019;14.мар
10.02.2019;16.0
11.02.2019;18.июл
12.02.2019;20.мар
13.02.2019;23.сен
14.02.2019;19.авг
15.02.2019;19.июл
16.02.2019;18.0
17.02.2019;18.мар
18.02.2019;22.май
19.02.2019;23.фев
20.02.2019;22.июл
21.02.2019;21.июн
22.02.2019;19.мар
23.02.2019;19.фев
24.02.2019;21.0
25.02.2019;19.сен
26.02.2019;19.фев
27.02.2019;18.авг
28.02.2019;18.июн
01.03.2019;21.сен
02.03.2019;22.июн
03.03.2019;21.сен
04.03.2019;20.май
05.03.2019;20.апр
06.03.2019;20.авг
07.03.2019;22.июл
08.03.2019;24.фев
09.03.2019;22.апр
10.03.2019;23.апр
11.03.2019;22.фев
12.03.2019;22.авг
13.03.2019;21.0
14.03.2019;23.0
15.03.2019;22.апр
16.03.2019;23.мар
17.03.2019;23.май
18.03.2019;24.апр
19.03.2019;27.янв
20.03.2019;25.мар
21.03.2019;26.фев
22.03.2019;26.мар
23.03.2019;26.сен
24.03.2019;28.апр
25.03.2019;27.авг
26.03.2019;26.июн
27.03.2019;28.авг
28.03.2019;30.авг
29.03.2019;31.6
30.03.2019;33.3
31.03.2019;31.июл
01.04.2019;29.авг
02.04.2019;30.мар
03.04.2019;31.0
04.04.2019;33.6
06.04.2019;33.5
07.04.2019;33.8
08.04.2019;33.5
09.04.2019;34.4
10.04.2019;34.2
11.04.2019;34.3
12.04.2019;33.4
13.04.2019;33.6
14.04.2019;33.5
15.04.2019;33.0
16.04.2019;27.авг
17.04.2019;26.июл
18.04.2019;28.янв
19.04.2019;28.май
20.04.2019;30.апр
21.04.2019;32.8
22.04.2019;34.8
25.04.2019;34.8
27.04.2019;34.7
28.04.2019;34.1
29.04.2019;34.8
01.05.2019;34.7
02.05.2019;34.9
03.05.2019;34.5
04.05.2019;35.1
05.05.2019;33.9
06.05.2019;35.1
07.05.2019;36.4
08.05.2019;34.8
09.05.2019;33.7
10.05.2019;31.9
11.05.2019;31.мар
12.05.2019;31.май
13.05.2019;33.4
14.05.2019;33.7
15.05.2019;32.4
20.05.2019;33.7
21.05.2019;34.1
22.05.2019;35.8
23.05.2019;36.1
24.05.2019;35.2
25.05.2019;34.8
26.05.2019;36.4
27.05.2019;36.6
28.05.2019;37.4
29.05.2019;37.9
30.05.2019;37.2
31.05.2019;37.6
01.06.2019;38.6
02.06.2019;39.5
03.06.2019;39.1
04.06.2019;38.6
05.06.2019;36.8
06.06.2019;36.8
07.06.2019;37.4
08.06.2019;37.9
09.06.2019;40.1
10.06.2019;38.4
11.06.2019;37.5
12.06.2019;36.6
13.06.2019;33.7
14.06.2019;35.3
15.06.2019;34.8
16.06.2019;34.5
17.06.2019;33.8
18.06.2019;30.май
19.06.2019;31.янв
20.06.2019;31.май
21.06.2019;30.янв
22.06.2019;34.7
23.06.2019;34.7
24.06.2019;33.1
25.06.2019;35.5
26.06.2019;34.0
27.06.2019;34.8
28.06.2019;35.2
29.06.2019;35.2
30.06.2019;35.4
01.07.2019;34.8
02.07.2019;33.6
03.07.2019;30.сен
04.07.2019;31.авг
05.07.2019;32.9
06.07.2019;33.5
07.07.2019;34.1
08.07.2019;34.2
09.07.2019;33.9
10.07.2019;33.5
11.07.2019;33.8
12.07.2019;33.4
13.07.2019;33.4
14.07.2019;32.7
15.07.2019;32.9
16.07.2019;32.5
17.07.2019;32.0
18.07.2019;33.7
19.07.2019;32.9
20.07.2019;33.1
21.07.2019;33.5
22.07.2019;30.июн
23.07.2019;34.1
24.07.2019;34.7
25.07.2019;32.9
26.07.2019;32.8
27.07.2019;29.сен
28.07.2019;25.июн
29.07.2019;29.авг
30.07.2019;32.0
31.07.2019;30.май
01.08.2019;29.апр
02.08.2019;30.авг
03.08.2019;27.авг
04.08.2019;31.июл
05.08.2019;31.0
06.08.2019;31.0
07.08.2019;29.апр
08.08.2019;29.2
09.08.2019;31.4
10.08.2019;29.апр
11.08.2019;28.авг
12.08.2019;29.июн
13.08.2019;30.авг
14.08.2019;28.сен
15.08.2019;26.сен
16.08.2019;25.мар
17.08.2019;27.фев
18.08.2019;28.сен
19.08.2019;29.июл
20.08.2019;30.апр
21.08.2019;30.мар
22.08.2019;30.янв
23.08.2019;30.июл
24.08.2019;31.янв
25.08.2019;31.6
26.08.2019;29.июн
27.08.2019;30.0
28.08.2019;27.апр
29.08.2019;29.2
30.08.2019;29.янв
31.08.2019;28.фев
01.09.2019;28.авг
02.09.2019;28.май
03.09.2019;30.янв
04.09.2019;30.сен
05.09.2019;29.июн
06.09.2019;30.июл
07.09.2019;27.фев
08.09.2019;30.апр
09.09.2019;32.6
10.09.2019;32.1
11.09.2019;31.мар
12.09.2019;30.июл
13.09.2019;30.2
14.09.2019;29.авг
15.09.2019;29.авг
16.09.2019;30.мар
17.09.2019;30.2
18.09.2019;31.май
19.09.2019;31.2
20.09.2019;29.сен
21.09.2019;29.апр
22.09.2019;30.апр
23.09.2019;30.0
24.09.2019;30.2
25.09.2019;30.0
26.09.2019;30.0
27.09.2019;26.июл
28.09.2019;27.авг
29.09.2019;27.янв
30.09.2019;28.0
01.10.2019;27.сен
02.10.2019;28.фев
03.10.2019;28.фев
04.10.2019;27.июл
05.10.2019;28.0
06.10.2019;28.фев
07.10.2019;27.июн
08.10.2019;27.0
09.10.2019;27.апр
10.10.2019;27.июл
11.10.2019;27.мар
12.10.2019;28.фев
13.10.2019;28.янв
14.10.2019;28.0
15.10.2019;28.фев
16.10.2019;28.янв
17.10.2019;28.янв
18.10.2019;28.апр
19.10.2019;28.апр
20.10.2019;27.июн
21.10.2019;25.сен
22.10.2019;24.июл
23.10.2019;25.янв
24.10.2019;25.мар
25.10.2019;25.апр
26.10.2019;25.апр
27.10.2019;24.авг
28.10.2019;25.фев
29.10.2019;26.апр
30.10.2019;28.июн
31.10.2019;27.авг
01.11.2019;27.апр
02.11.2019;25.авг
03.11.2019;26.мар
04.11.2019;25.авг
05.11.2019;24.фев
06.11.2019;25.авг
07.11.2019;26.янв
08.11.2019;23.июл
09.11.2019;23.0
10.11.2019;24.апр
11.11.2019;25.янв
12.11.2019;24.сен
13.11.2019;25.мар
14.11.2019;22.фев
15.11.2019;22.0
16.11.2019;22.авг
17.11.2019;22.сен
18.11.2019;21.июн
19.11.2019;20.июл
20.11.2019;20.июн
21.11.2019;22.авг
22.11.2019;22.сен
23.11.2019;23.мар
24.11.2019;21.авг
25.11.2019;23.янв
26.11.2019;21.мар
27.11.2019;21.май
28.11.2019;20.фев
29.11.2019;19.0
30.11.2019;18.мар
01.12.2019;19.май
02.12.2019;19.мар
03.12.2019;17.июл
04.12.2019;18.авг
05.12.2019;19.фев
06.12.2019;19.0
07.12.2019;17.июл
08.12.2019;17.мар
09.12.2019;17.июн
10.12.2019;17.авг
11.12.2019;19.июн
12.12.2019;19.авг
13.12.2019;15.июн
14.12.2019;16.янв
15.12.2019;15.сен
16.12.2019;13.май
17.12.2019;12.авг
18.12.2019;15.0
19.12.2019;16.сен
20.12.2019;17.сен
21.12.2019;18.июл
22.12.2019;17.фев
23.12.2019;17.0
24.12.2019;18.фев
25.12.2019;15.июл
26.12.2019;13.мар
27.12.2019;13.июн
28.12.2019;14.фев
29.12.2019;13.сен
30.12.2019;13.сен
31.12.2019;14.0
01.01.2020;14.июн
02.01.2020;15.июн
03.01.2020;16.мар
04.01.2020;15.апр
05.01.2020;16.0
06.01.2020;17.май
07.01.2020;16.фев
08.01.2020;13.авг
09.01.2020;13.мар
10.01.2020;13.янв
11.01.2020;16.июн
12.01.2020;18.апр
13.01.2020;14.авг
14.01.2020;14.янв
15.01.2020;15.янв
16.01.2020;12.авг
17.01.2020;13.фев
18.01.2020;15.янв
19.01.2020;13.июл
20.01.2020;15.мар
21.01.2020;16.июл
22.01.2020;16.авг
23.01.2020;15.май
24.01.2020;14.авг
25.01.2020;16.июн
26.01.2020;17.сен
27.01.2020;19.авг
28.01.2020;16.апр
29.01.2020;14.апр
30.01.2020;16.янв
31.01.2020;15.мар
01.02.2020;15.май
02.02.2020;16.мар
03.02.2020;16.июл
04.02.2020;18.июл
05.02.2020;18.фев
06.02.2020;15.янв
07.02.2020;17.мар
08.02.2020;16.май
09.02.2020;16.июл
10.02.2020;17.янв
11.02.2020;18.авг
12.02.2020;20.авг
13.02.2020;21.июл
14.02.2020;20.янв
15.02.2020;20.0
16.02.2020;20.июл
17.02.2020;22.мар
18.02.2020;22.0
19.02.2020;22.июн
20.02.2020;22.фев
21.02.2020;20.мар
22.02.2020;20.июл
23.02.2020;20.июл
24.02.2020;21.мар
25.02.2020;22.фев
26.02.2020;22.сен
27.02.2020;24.янв
28.02.2020;24.май
29.02.2020;25.фев
01.03.2020;24.май
02.03.2020;24.сен
03.03.2020;24.мар
04.03.2020;24.май
05.03.2020;21.сен
06.03.2020;18.июл
07.03.2020;19.июл
08.03.2020;21.сен
09.03.2020;23.апр
10.03.2020;24.янв
11.03.2020;22.мар
12.03.2020;21.0
13.03.2020;20.фев
14.03.2020;20.сен
15.03.2020;21.мар
16.03.2020;22.фев
17.03.2020;23.сен
18.03.2020;26.янв
19.03.2020;26.авг
20.03.2020;27.май
21.03.2020;27.май
22.03.2020;27.сен
23.03.2020;27.май
24.03.2020;27.сен
25.03.2020;28.июн
26.03.2020;21.авг
27.03.2020;21.сен
28.03.2020;23.июл
29.03.2020;26.май
30.03.2020;27.май
31.03.2020;28.мар
01.04.2020;28.фев
02.04.2020;28.мар
03.04.2020;28.июл
04.04.2020;28.июн
05.04.2020;29.янв
06.04.2020;30.авг
07.04.2020;31.4
08.04.2020;29.авг
09.04.2020;29.сен
10.04.2020;31.июл
11.04.2020;32.5
12.04.2020;31.9
13.04.2020;33.4
14.04.2020;33.3
15.04.2020;32.2
16.04.2020;33.2
17.04.2020;32.6
18.04.2020;32.8
19.04.2020;31.май
20.04.2020;28.июн
21.04.2020;30.сен
22.04.2020;32.4
23.04.2020;32.6
24.04.2020;32.8
25.04.2020;32.0
26.04.2020;30.июл
27.04.2020;28.сен
28.04.2020;31.9
29.04.2020;34.4
01.05.2020;34.8
02.05.2020;35.2
03.05.2020;35.2
04.05.2020;31.май
05.05.2020;32.2
06.05.2020;32.5
07.05.2020;33.9
08.05.2020;36.5
09.05.2020;36.6
10.05.2020;35.8
11.05.2020;35.2
12.05.2020;34.6
13.05.2020;34.7
14.05.2020;35.1
15.05.2020;34.7
16.05.2020;35.1
17.05.2020;36.1
18.05.2020;34.6
19.05.2020;35.6
20.05.2020;34.4
21.05.2020;36.4
22.05.2020;37.4
23.05.2020;37.3
24.05.2020;37.5
25.05.2020;38.4
26.05.2020;37.6
27.05.2020;36.8
28.05.2020;36.6
29.05.2020;33.4
30.05.2020;27.авг
31.05.2020;30.апр
01.06.2020;32.0
02.06.2020;32.3
03.06.2020;30.сен
04.06.2020;32.8
05.06.2020;29.май
06.06.2020;32.1
07.06.2020;32.6
08.06.2020;34.2
09.06.2020;34.8
10.06.2020;34.8
11.06.2020;35.4
12.06.2020;33.1
13.06.2020;32.7
14.06.2020;35.8
15.06.2020;36.4
16.06.2020;38.2
17.06.2020;37.3
18.06.2020;36.0
19.06.2020;35.9
20.06.2020;35.6
21.06.2020;34.3
22.06.2020;35.3
23.06.2020;33.3
24.06.2020;29.мар
25.06.2020;31.6
26.06.2020;34.9
27.06.2020;35.2
28.06.2020;35.6
29.06.2020;35.8
30.06.2020;35.4
01.07.2020;32.0
02.07.2020;33.8
03.07.2020;35.7
04.07.2020;34.3
05.07.2020;33.8
06.07.2020;29.авг
07.07.2020;33.1
08.07.2020;32.8
09.07.2020;32.1
10.07.2020;33.0
11.07.2020;31.июл
12.07.2020;32.7
13.07.2020;33.8
14.07.2020;33.6
15.07.2020;36.2
16.07.2020;34.4
17.07.2020;35.2
18.07.2020;32.6
19.07.2020;32.6
20.07.2020;32.9
21.07.2020;28.сен
22.07.2020;29.авг
23.07.2020;32.8
24.07.2020;30.сен
25.07.2020;29.0
26.07.2020;31.янв
27.07.2020;32.7
28.07.2020;33.3
29.07.2020;33.1
30.07.2020;32.6
31.07.2020;29.сен
01.08.2020;29.мар
02.08.2020;32.2
03.08.2020;33.1
04.08.2020;32.9
05.08.2020;34.2
06.08.2020;32.9
07.08.2020;29.мар
08.08.2020;28.0
09.08.2020;30.янв
10.08.2020;28.сен
11.08.2020;30.янв
12.08.2020;30.мар
13.08.2020;30.авг
14.08.2020;29.сен
15.08.2020;26.авг
16.08.2020;28.авг
17.08.2020;30.апр
18.08.2020;30.янв
19.08.2020;30.авг
20.08.2020;29.2
21.08.2020;31.2
22.08.2020;31.6
23.08.2020;31.0
24.08.2020;27.янв
25.08.2020;26.янв
26.08.2020;27.июл
27.08.2020;28.июл
28.08.2020;29.мар
29.08.2020;29.янв
30.08.2020;27.июн
31.08.2020;25.июн
01.09.2020;26.янв
02.09.2020;28.июл
03.09.2020;27.мар
04.09.2020;26.авг
05.09.2020;27.мар
06.09.2020;25.авг
07.09.2020;27.апр
08.09.2020;28.сен
09.09.2020;28.июн
10.09.2020;30.июл
11.09.2020;30.май
12.09.2020;31.мар
13.09.2020;31.июл
14.09.2020;31.июл
15.09.2020;31.авг
16.09.2020;32.0
17.09.2020;31.9
18.09.2020;31.мар
19.09.2020;30.июл
20.09.2020;30.сен
21.09.2020;30.май
22.09.2020;31.4
23.09.2020;31.июл
24.09.2020;31.6
25.09.2020;31.янв
26.09.2020;29.июл
27.09.2020;29.мар
28.09.2020;30.янв
29.09.2020;29.сен
30.09.2020;30.мар
01.10.2020;30.сен
02.10.2020;30.мар
03.10.2020;30.мар
04.10.2020;31.янв
05.10.2020;30.мар
06.10.2020;28.сен
07.10.2020;29.мар
08.10.2020;28.сен
09.10.2020;28.сен
10.10.2020;28.июл
11.10.2020;29.мар
12.10.2020;28.фев
13.10.2020;27.июл
14.10.2020;28.апр
15.10.2020;29.сен
16.10.2020;30.апр
17.10.2020;31.мар
18.10.2020;25.авг
19.10.2020;27.авг
20.10.2020;28.апр
21.10.2020;28.июн
22.10.2020;25.сен
23.10.2020;25.сен
24.10.2020;25.июн
25.10.2020;25.апр
26.10.2020;25.мар
27.10.2020;23.авг
28.10.2020;23.апр
29.10.2020;23.мар
30.10.2020;23.фев
31.10.2020;23.фев
01.11.2020;22.май
02.11.2020;21.сен
03.11.2020;21.сен
04.11.2020;21.июн
05.11.2020;23.мар
06.11.2020;23.мар
07.11.2020;23.апр
08.11.2020;23.0
09.11.2020;22.апр
10.11.2020;22.апр
11.11.2020;22.фев
12.11.2020;21.июн
13.11.2020;21.июл
14.11.2020;23.апр
15.11.2020;23.апр
16.11.2020;22.авг
17.11.2020;20.янв
18.11.2020;20.мар
19.11.2020;19.май
20.11.2020;19.авг
21.11.2020;17.июл
22.11.2020;18.фев
23.11.2020;18.авг
24.11.2020;19.сен
25.11.2020;21.мар
26.11.2020;19.мар
27.11.2020;19.мар
28.11.2020;18.июл
29.11.2020;18.июл
30.11.2020;19.июн
01.12.2020;20.мар
02.12.2020;20.мар
03.12.2020;20.янв
04.12.2020;20.мар
05.12.2020;20.июн
